"id";"usuario";"recurso";"accion";"fecha";"resultado";"motivo";"direccion_ip"
"12";"luis.perez";"documento-3";"READ";"2026-09-23 12:55:36";"DENEGADO";"ABAC: P2_NIVEL (Nivel: 2 < 4)";"::1"
"11";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:36";"PERMITIDO";"Inicio de sesion correcto";"::1"
"10";"luis.perez";"documento-2";"APPROVE";"2026-09-23 12:55:35";"DENEGADO";"RBAC: Rol EMPLEADO no tiene el permiso DOC_APROBAR";"::1"
"9";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:35";"PERMITIDO";"Inicio de sesion correcto";"::1"
"8";"carlos.ruiz";"documento-1";"APPROVE";"2026-09-23 12:55:35";"PERMITIDO";"RBAC y ABAC OK";"::1"
"7";"carlos.ruiz";"auth";"LOGIN";"2026-09-23 12:55:35";"PERMITIDO";"Inicio de sesion correcto";"::1"
"6";"luis.perez";"documento-5";"READ";"2026-09-23 12:55:35";"DENEGADO";"ABAC: P1_DEPARTAMENTO (Departamento: FINANZAS != RRHH)";"::1"
"5";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:35";"PERMITIDO";"Inicio de sesion correcto";"::1"
"4";"luis.perez";"documento-2";"READ";"2026-09-23 12:55:35";"PERMITIDO";"RBAC y ABAC OK";"::1"
"3";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:35";"PERMITIDO";"Inicio de sesion correcto";"::1"
"2";"rosa.diaz";"documento-nuevo";"CREATE";"2026-09-23 12:55:35";"PERMITIDO";"RBAC y ABAC OK";"::1"
"1";"rosa.diaz";"auth";"LOGIN";"2026-09-23 12:55:35";"PERMITIDO";"Inicio de sesion correcto";"::1"
